Date,driver_number,start_point,end_point,distance_travelled,speed,start_time,end_time,driver_rating,fare_amount,weather_conditions,traffic_conditions,payment_method,passenger_count,duration,route_taken
06/12/2026,8,5815 Continental Terrace,3 Hanover Junction,9.91,86.97,2/18/2022,6/7/2022,5.0,33.61,sunny,heavy,mobile payment,3,541,back roads
06/12/2026,2,5596 Graedel Parkway,9972 Fremont Way,44.2,2.91,2/2/2022,6/14/2022,1.5,34.23,sunny,light,credit card,3,590,back roads
06/12/2026,2,03 Corry Plaza,5 Victoria Road,20.37,40.05,4/11/2022,8/11/2022,3.5,69.42,cloudy,moderate,mobile payment,2,548,highway
06/12/2026,5,54 Fair Oaks Pass,2 Artisan Lane,49.64,80.7,9/9/2022,6/13/2022,3.2,83.44,sunny,moderate,mobile payment,5,31,back roads
06/12/2026,2,09 Mcbride Terrace,0355 Summer Ridge Hill,40.87,5.47,6/22/2022,3/4/2022,2.9,74.98,snowy,moderate,mobile payment,4,268,city streets
06/12/2026,7,19044 Miller Way,5835 Steensland Street,13.39,96.96,7/18/2022,4/24/2022,2.0,40.83,snowy,light,mobile payment,4,220,back roads
06/12/2026,9,32766 Duke Alley,69749 Becker Plaza,46.31,70.98,6/6/2022,5/11/2022,1.4,22.93,snowy,heavy,credit card,2,43,city streets
06/12/2026,7,06 Ludington Terrace,772 Waubesa Parkway,39.6,101.41,1/25/2022,2/3/2022,2.3,62.83,sunny,heavy,cash,3,546,back roads
06/12/2026,5,3 Everett Drive,23518 Del Sol Street,23.75,137.05,9/6/2022,2/10/2022,4.9,18.95,sunny,light,cash,1,203,highway
06/12/2026,5,642 Butternut Place,835 Magdeline Hill,45.65,30.9,4/20/2022,10/31/2022,1.7,0.85,snowy,moderate,credit card,5,474,city streets
06/12/2026,2,61 Hoffman Street,09 Roxbury Terrace,36.55,84.82,3/12/2022,2/26/2022,1.4,3.29,snowy,moderate,credit card,4,273,back roads
06/12/2026,6,06 Cambridge Circle,5235 Glacier Hill Junction,18.76,72.27,9/8/2022,1/14/2022,1.4,45.11,sunny,moderate,cash,5,141,back roads
06/12/2026,3,41213 Cordelia Center,73718 4th Court,37.74,38.67,4/11/2022,10/2/2022,3.2,46.38,snowy,light,cash,3,432,highway
06/12/2026,5,628 Hudson Alley,23549 Kedzie Way,5.6,89.72,4/19/2022,9/5/2022,3.4,83.75,cloudy,light,mobile payment,5,493,highway
06/12/2026,6,8400 Spenser Center,3751 Grayhawk Point,21.05,17.5,5/2/2022,8/7/2022,2.3,0.78,sunny,light,cash,2,209,city streets
06/12/2026,9,2663 Merrick Place,055 Knutson Center,6.34,100.71,3/4/2022,7/21/2022,3.8,10.67,sunny,heavy,credit card,1,114,highway
06/12/2026,8,0 Emmet Lane,94015 Marcy Road,24.67,18.51,8/9/2022,5/5/2022,3.1,14.45,cloudy,light,mobile payment,1,5,highway
06/12/2026,2,6 Moose Place,59464 Moulton Junction,45.1,14.16,2/17/2022,5/11/2022,3.1,90.21,cloudy,moderate,cash,2,368,highway
06/12/2026,4,909 Bellgrove Junction,085 Pine View Center,18.81,84.45,1/19/2022,10/26/2022,2.9,8.35,snowy,light,credit card,4,508,back roads
06/12/2026,9,5 Vermont Park,58 Ruskin Plaza,4.5,60.69,2/2/2022,7/26/2022,1.1,29.98,sunny,light,mobile payment,2,85,city streets
06/12/2026,9,29793 Larry Parkway,155 Northridge Junction,14.81,36.5,5/3/2022,9/15/2022,2.3,55.26,snowy,moderate,mobile payment,3,257,city streets
06/12/2026,1,06260 Lunder Way,6496 Monument Junction,5.87,131.96,5/30/2022,6/10/2022,4.5,26.19,cloudy,light,credit card,5,580,back roads
06/12/2026,2,26 Del Mar Plaza,965 Dennis Alley,4.63,130.57,6/30/2022,1/28/2022,2.7,71.05,cloudy,moderate,cash,2,413,city streets
06/12/2026,8,95413 Larry Circle,069 Buell Alley,36.57,127.21,3/17/2022,8/29/2022,4.1,13.98,snowy,light,cash,4,17,back roads
06/12/2026,2,807 1st Lane,795 Butterfield Terrace,9.17,89.46,1/27/2022,2/1/2022,4.3,71.23,snowy,light,mobile payment,5,278,back roads
06/12/2026,2,00109 Mcbride Point,8 Norway Maple Drive,18.78,136.49,5/30/2022,8/6/2022,2.1,44.37,sunny,moderate,cash,3,92,city streets
06/12/2026,5,446 Mosinee Center,3651 Lukken Point,45.63,35.06,8/3/2022,10/27/2022,3.7,36.36,sunny,light,cash,1,75,back roads
06/12/2026,6,77 Barnett Trail,91 Coolidge Circle,21.83,41.01,2/10/2022,2/13/2022,1.9,66.25,sunny,light,cash,4,82,highway
06/12/2026,2,8 Stuart Crossing,5584 Clyde Gallagher Parkway,48.03,122.91,8/8/2022,9/7/2022,1.1,24.4,sunny,heavy,credit card,5,462,city streets
06/12/2026,4,3 Fairview Drive,8805 Calypso Hill,44.32,91.12,8/24/2022,6/1/2022,4.9,83.63,sunny,moderate,credit card,5,297,city streets
06/12/2026,7,43952 Pepper Wood Point,63939 Everett Lane,6.46,121.01,1/25/2022,8/23/2022,3.3,17.83,sunny,heavy,cash,3,517,city streets
06/12/2026,8,82430 Ridgeview Terrace,225 New Castle Road,18.63,103.42,4/26/2022,6/11/2022,3.1,75.81,cloudy,light,credit card,1,16,city streets
06/12/2026,2,76223 Ruskin Street,21419 Pankratz Point,19.15,45.01,4/16/2022,9/30/2022,3.4,68.79,snowy,moderate,credit card,2,482,back roads
06/12/2026,3,76798 Harbort Junction,888 Blaine Parkway,6.56,106.74,6/22/2022,6/11/2022,3.9,71.33,cloudy,light,mobile payment,2,0,city streets
06/12/2026,9,42855 Kipling Junction,317 Ilene Court,38.01,122.81,3/30/2022,9/25/2022,2.2,80.68,snowy,heavy,cash,1,177,highway
06/12/2026,5,33231 Mendota Road,47663 Nelson Center,5.12,129.31,3/7/2022,8/10/2022,4.4,93.1,sunny,light,cash,3,167,city streets
06/12/2026,5,82 Dapin Circle,9 Arrowood Circle,0.98,112.0,8/20/2022,6/18/2022,3.2,34.85,cloudy,heavy,cash,5,374,back roads
06/12/2026,9,67 Redwing Terrace,19712 Waywood Plaza,14.5,84.29,9/2/2022,10/1/2022,3.6,72.29,cloudy,moderate,credit card,4,439,highway
06/12/2026,3,7762 Ridge Oak Park,54 Anderson Alley,17.53,96.83,8/6/2022,5/1/2022,1.7,37.13,snowy,light,credit card,2,221,city streets
06/12/2026,8,286 Portage Plaza,705 Judy Plaza,13.07,49.06,5/16/2022,2/20/2022,3.3,31.94,sunny,light,mobile payment,5,350,city streets
06/12/2026,4,1 Westerfield Plaza,752 Welch Junction,22.79,34.36,2/15/2022,6/17/2022,3.6,85.07,snowy,moderate,credit card,1,410,city streets
06/12/2026,6,24 Pleasure Way,95 Hooker Alley,29.44,129.99,1/21/2022,1/9/2022,4.8,5.75,snowy,moderate,mobile payment,1,317,highway
06/12/2026,3,168 Little Fleur Circle,7115 Superior Hill,28.41,53.96,4/16/2022,6/13/2022,3.4,83.3,snowy,light,cash,5,51,back roads
06/12/2026,3,1901 Swallow Hill,34895 Susan Drive,35.23,29.52,2/23/2022,4/9/2022,4.2,23.87,sunny,light,mobile payment,2,452,highway
06/12/2026,7,081 Bartillon Junction,6 Miller Point,20.65,96.87,3/25/2022,11/2/2022,4.3,33.53,snowy,light,cash,5,108,city streets
06/12/2026,5,2 Cody Circle,21 Bonner Court,25.64,6.56,5/10/2022,7/3/2022,3.2,22.13,snowy,heavy,mobile payment,4,354,highway
06/12/2026,4,2 Lyons Point,6799 Anniversary Lane,20.19,110.88,4/19/2022,2/26/2022,1.7,75.18,cloudy,heavy,credit card,2,406,city streets
06/12/2026,4,7 Browning Plaza,9 Pleasure Place,27.69,49.08,3/3/2022,3/23/2022,2.7,82.02,cloudy,moderate,mobile payment,1,391,back roads
06/12/2026,8,9110 Sunbrook Drive,899 Burrows Road,39.02,33.21,3/30/2022,8/14/2022,3.8,98.37,sunny,moderate,mobile payment,5,597,highway
06/12/2026,5,2568 Porter Alley,06602 Grayhawk Point,9.53,30.23,5/2/2022,5/24/2022,1.0,63.75,snowy,heavy,mobile payment,3,45,city streets
06/12/2026,3,16265 Bobwhite Crossing,6 Elgar Lane,22.98,89.73,7/11/2022,7/24/2022,1.4,11.8,snowy,light,credit card,5,497,highway
